37324971, -0.07, -0.06, 180.00
37331916, -0.14, -0.11, 180.01
37336984, -0.17, -0.14, 180.01
37343926, -0.24, -0.20, 180.01
37348993, -0.28, -0.23, 180.01
37355937, -0.35, -0.28, 180.01
37361005, -0.39, -0.31, 180.01
37367947, -0.46, -0.37, 180.01
37373015, -0.49, -0.40, 180.01
37379955, -0.56, -0.46, 180.02
37385023, -0.60, -0.49, 180.02
37391964, -0.67, -0.55, 180.03
37397032, -0.71, -0.58, 180.03
37403975, -0.77, -0.64, 180.03
37409043, -0.81, -0.67, 180.04
37415985, -0.86, -0.74, 180.05
37421051, -0.89, -0.77, 180.06
37427993, -0.96, -0.83, 180.07
37433060, -0.99, -0.86, 180.07
37440002, -1.06, -0.92, 180.08
37445069, -1.09, -0.96, 180.08
37452010, -1.16, -1.02, 180.09
37457079, -1.19, -1.05, 180.09
37464022, -1.26, -1.11, 180.10
37469092, -1.29, -1.14, 180.10
37476029, -1.35, -1.21, 180.12
37481100, -1.38, -1.24, 180.13
37488038, -1.44, -1.31, 180.14
37493109, -1.47, -1.34, 180.15
37500048, -1.53, -1.40, 180.16
37505118, -1.54, -1.44, 180.17
37512056, -1.55, -1.53, 180.21
37517127, -1.58, -1.56, 180.23
37524065, -1.63, -1.63, 180.25
37529136, -1.66, -1.67, 180.26
37536073, -1.72, -1.73, 180.29
37541144, -1.74, -1.76, 180.30
37548081, -1.78, -1.84, 180.35
37553151, -1.79, -1.87, 180.37
37560090, -1.85, -1.94, 180.40
37565160, -1.88, -1.97, 180.42
37572098, -1.92, -2.04, 180.46
37577169, -1.96, -2.07, 180.47
37584104, -2.02, -2.12, 180.50
37589171, -2.05, -2.15, 180.52
37596114, -2.10, -2.22, 180.57
37601182, -2.12, -2.25, 180.59
37608121, -2.17, -2.31, 180.63
37613195, -2.21, -2.33, 180.65
37620131, -2.22, -2.38, 180.73
37625204, -2.22, -2.40, 180.77
37632139, -2.28, -2.46, 180.80
37637211, -2.32, -2.48, 180.82
37644149, -2.38, -2.52, 180.87
37649221, -2.43, -2.52, 180.88
37656158, -2.44, -2.54, 180.92
37661231, -2.41, -2.55, 180.95
37668167, -2.39, -2.57, 181.03
37673239, -2.40, -2.58, 181.08
37680177, -2.49, -2.59, 181.10
37685247, -2.53, -2.60, 181.11
37692183, -2.48, -2.61, 181.19
37697254, -2.49, -2.62, 181.23
37704191, -2.50, -2.64, 181.32
37709259, -2.51, -2.65, 181.37
37716198, -2.49, -2.66, 181.44
37721268, -2.45, -2.67, 181.47
